XYDATA,PA,PLC,PC,PE,PET,PP,PS,PVC,Type A  BoxCD02 (PE),Type B  BoxAB10 (PE),Type C  BoxBC07 (PE),Type D BoxBA09 (PE),Type Z Box A B01 (un),Type B Box A B08 (PP),Type B Box A D04 (PP),Type A Box A D08 (PP),Type C Box B G06 (PS),"(1,1)"
2205.4197,1788.11,509.415,540.959,500.55,845.137,505.375,606.262,528.21,606.127,1056.15,519.639,528.797,806.512,2790.82,793.072,851.323,618.444,0.797764132
2206.4197,1789.73,508.964,540.07,500.506,845.288,505.17,606.719,528.179,607.052,1057.21,519.655,529.689,804.79,2792.01,793.5,851.316,619.47,0.130606666
2207.4197,1790.84,508.225,540.341,500.631,847.172,504.386,605.818,527.286,606.905,1056.15,518.882,530.2,804.883,2786.97,793.997,850.404,619.989,0.800438462
2208.4197,1791.58,507.666,540.713,500.792,848.932,503.637,604.728,526.391,606.191,1054.76,518.474,530.319,805.658,2782.27,794.038,850.123,619.703,0.303317354
2209.4197,1792.19,507.707,540.088,500.868,848.728,503.524,604.664,526.37,605.476,1054.72,519.387,530.148,805.847,2783.75,793.26,851.712,618.782,1.246870538
2210.4197,1792.78,508.12,539.093,500.954,847.245,503.951,605.319,526.931,605.185,1055.68,520.729,530.013,805.928,2788.25,792.418,853.84,617.588,1.607679348
2211.4197,1793.33,508.418,539.02,501.231,846.182,504.537,605.778,527.317,605.64,1056.62,521.09,530.283,807.048,2789.99,792.539,854.456,617.001,0.457682933
2212.4197,1793.56,508.364,540.002,501.626,846.258,504.992,605.709,527.343,606.383,1057.07,520.33,530.872,808.83,2788.79,793.246,853.285,617.819,0.708386443
2213.4197,1792.94,507.977,540.994,501.816,847.202,505.115,605.377,527.405,606.46,1056.99,519.343,531.327,809.357,2788.96,793.03,851.497,619.307,1.532793047
2214.4197,1791.6,507.395,541.298,501.606,848.555,504.897,605.108,527.687,605.559,1056.46,518.793,531.382,807.752,2792.36,791.424,850.093,619.97,0.387261904
2215.4197,1791.4,507.013,541.209,501.147,849.505,504.785,605.325,527.786,604.368,1055.74,518.843,531.151,805.867,2795.83,790.044,849.664,619.405,1.385469566
2216.4197,1793.93,507.193,541.108,500.635,849.35,505.173,606.305,527.31,603.545,1055.14,519.482,530.791,805.592,2796.43,790.251,850.538,618.563,1.249530637
2217.4197,1797.1,507.788,540.962,500.207,848.462,505.647,607.271,526.552,603.309,1054.95,520.114,530.463,806.323,2794.97,790.883,851.957,618.216,1.649693239
2218.4197,1797.51,508.45,540.585,499.976,847.624,505.504,607.083,526.072,603.732,1055.45,520.005,530.309,806.517,2793.43,790.124,852.858,618.352,3.942368469
2219.4197,1795.38,508.974,540.088,500.009,847.185,504.786,605.978,526.178,604.506,1056.32,519.261,530.215,806.049,2793.05,788.316,852.768,618.808,0.899074579
2220.4197,1794.47,509.288,539.876,500.329,847.058,504.27,605.543,526.936,605.088,1056.8,518.638,529.867,806.19,2794.45,787.485,851.679,619.387,1.202936369
2221.4197,1796.76,509.327,540.146,500.857,847.144,504.426,606.568,528.09,605.241,1056.59,518.558,529.284,807.452,2797.47,788.499,850.1,619.879,1.011110475
2222.4197,1799.56,509.017,540.573,501.28,847.342,504.925,607.825,528.657,605.186,1056.26,518.794,529.107,808.422,2800.42,789.991,849.473,620.127,1.00788639
2223.4197,1800.1,508.352,540.825,501.323,847.568,505.343,608.042,527.831,605.111,1056.4,519.061,529.802,807.785,2801.93,790.643,850.861,620.033,2.271792028
2224.4197,1799.1,507.736,540.997,501.167,847.811,505.407,607.509,526.579,604.956,1057.19,519.132,530.662,806.581,2802.69,790.556,853.007,619.635,2.397541892
